SRR3437043	SRR3437044	SRR3437051	SRR3437052	SRR3437053	SRR3437060	SRR3437054	SRR3437056
5_8S_rRNA	27.0119475707812	23.598826458186	25.0207196164305	124.109331876587	139.938336231781	174.57462214877	66.2700501439356	413.720895108901
7SK	0.502755681470128	0.830594236457647	0	0	1.52256443351744	0.416977358169547	0.142273744487035	2.32745205275853
A1BG	0.705291166053368	0.543759867728462	0	0	0.101710980983732	0.194985661359603	0.266118431798706	0
A1BG-AS1	2.04340730445377	1.19690254228129	0.748053399320669	0.304580703731298	1.56717509436909	1.8488385531169	1.10394980162139	0.945972905063088
A2M	233.475823378253	276.372278564425	46.2829328745249	27.4887218663831	52.3395725121174	31.2861715342645	28.5506789625408	161.656857571781
A2M-AS1	95.9925679881584	97.26010570341	10.5184224927545	14.1761585160003	55.326874964224	22.8792987010567	22.2010746061486	142.321956121667
A2ML1	0.175172931684207	0.130230119243359	0	0	0.0568393254547157	0.217928356561502	0.297430857675524	0.202735948325808
A2MP1	0.269172750511528	0.933861159994039	0.154847214289269	0	0.0873399641301151	0	0.171388384490502	0.0623052800609612
A4GALT	9.23914624881525	5.18045434436241	5.04657585116451	3.87640472372416	1.69576860671687	3.25088363218545	1.50535620655878	3.97473546909447
AAAS	9.94450099798116	9.39747005589758	7.17004514838605	9.63811819715042	11.5302425504186	12.5366664148627	16.2659191311886	8.04112445334258
AACS	1.11371714961242	0.96839654727589	1.16897627037678	2.84053773414365	2.48523828602074	1.5313954288283	3.13509629740339	1.86333536954432
AADAT	4.32618160474913	6.06641420109066	7.4054767834432	22.9521216143087	26.5683465700557	29.273354904088	34.667369073341	12.8958084108398
AAGAB	5.37706394625333	5.33001434386089	9.67190743606922	9.18879794403281	9.53455646605431	9.79866561343807	10.4157583747952	7.64305706321525
AAK1	1.09746973417562	1.45048908563694	1.69809295983938	1.55811896397378	4.89537985240228	1.78905996084579	4.81919880794752	1.36651031041081
AAMDC	10.3598140424148	6.25777248603886	4.84225475221416	8.66995685693535	5.25235295653339	6.04143331438832	3.84785808953573	16.0364972877567
AAMP	24.4142327981555	22.9804082626338	28.0895887909885	37.7872159529981	29.2907649263071	39.0511921263139	44.3274691375106	27.8283525199547
AAR2	4.68507706094528	3.74935091349528	1.97811953626423	4.22845409843395	2.73355759631646	3.15492469667029	3.4301027027748	3.62147410796798
AARS1	9.3269159161621	7.36593144006088	4.96089042980399	8.15599439991586	10.0812375185697	14.5708115580899	13.2662492212604	9.6831816668045
AARS2	4.24461858252505	3.91117667545222	5.91535854800465	4.4436322026249	5.58669197494928	5.65250115824647	5.68443591098144	2.82295691557396
AARSD1	2.87663842943401	3.69013465311745	5.64594514886842	5.27144994422208	4.50227611531096	5.47339070037888	4.38152430713718	4.23013153865291
AASDH	1.14472160965015	3.00363149969536	2.09178490304237	2.20811193465707	0.961358904704212	2.17806608876272	2.57248293910271	1.55863606168831
AASDHPPT	1.98377581904977	2.27690467352108	3.42362470313777	3.30967888692238	2.03269471741102	2.14323444716331	2.43759030826113	2.32008547121556
AASS	2.92638885476033	4.42297574362191	2.56686888520593	2.85037526180492	2.21873063649064	1.65811724989573	1.47587963493393	2.44121373161932
AATBC	0.835863125190727	0.701080157732203	0	0.0702814453829434	0	0.0799905272647777	0	0
AATF	2.52666957867039	1.76341545586393	2.69939269444699	2.11364725296051	2.30894386621327	1.18678171171333	2.25449164340995	2.76907116020502
AATK	2.16422388292155	1.2258781748978	3.20146644921377	6.10910410011153	4.13625685177421	3.55049401127898	4.28041308829326	3.96357471836543
ABALON	9.38671012224574	8.4883850292319	15.1576138086206	8.28028438288883	3.84727263960642	6.5559445908738	5.87187592854007	5.94643819259693
ABAT	4.29116872708176	5.02119143172245	7.75840660359987	13.048919280829	4.94137559235721	2.76961744695854	3.45130646309434	5.4667446856412
ABCA1	0.884095917575376	1.61578880557828	0.826466120099323	0.905981922233447	0.394442770210121	0.378084468727302	0.351827429503777	1.17668709382167
ABCA10	0.335569229392911	0.517429080558268	0.128695445022925	0.36680141382132	0.435535980557467	0.324701583488362	0.411502049789391	0.379739747969406
ABCA11P	0.224648297335517	1.33609567498994	0.516934392075358	0.61389205160657	1.02050017587012	1.11791779179506	0.381436418911478	1.03998454926128
ABCA12	0.0977900066932743	0.0323114462695194	0.0375038213514211	0	0.0846145647917507	0.243316307398706	0.0553467655899222	0
ABCA17P	0.0953405460246567	0.141759466581302	0.0548466289127719	0.0521070527527329	0	0.355832518912558	0.0404703228157524	0.132410567041632
ABCA2	3.95136820378624	4.80820169647465	9.02972005913895	4.73615048718592	6.01271097410181	6.61090407202284	6.98675430100942	7.34220048434555
ABCA3	2.65035478417236	2.38833094132619	6.00628216317697	3.64323378755852	3.17930227962464	6.04494277505276	3.64781567585993	5.31679440823644
ABCA4	0	0.0363451789440927	0.0421857655870554	0.0400785965597831	0	0.182461134848965	0.124512414737689	0.0678964991795709
ABCA5	0.833595768156758	2.17199319714506	3.31569922139991	3.41041808696892	1.82381749234555	3.52599070958616	1.31428588253528	1.36720267009588
ABCA6	0.221347912687559	0.329116659593685	0.101867986572274	0.24194926175764	0.143643951459933	0.0275373520192489	0.112749781970938	0.43037642845895
ABCA7	1.14361934286379	1.94333590513081	1.42856282576972	1.4643543276671	1.52671459350871	1.86989846469317	2.19143992003647	1.39163400116977
ABCA8	2.31290264156081	2.70700159653616	1.15420794816043	1.30977466532528	0.325509507076784	0.0693355557333321	0.283889634206747	1.44484426441919
