logFC	logCPM	PValue	FDR	test	SYMBOL
3.24402738873337	7.41630470726794	0.000779345947579429	0.0126195172051396	1	5_8S_rRNA
0.860598511940806	1.00438674916618	0.512326057212699	0.758277393115436	0	7SK
-2.11875029723199	0.666005585229177	0.0823775502627861	0.274937936984565	0	A1BG
-0.652811584538338	2.25020336090533	0.344231760428037	0.618046098148304	0	A1BG-AS1
-1.42251840764649	9.40499849260819	0.0580297887934299	0.221393292482221	0	A2M
-0.232352973060079	7.41368519997364	0.766151300445447	0.920547198439926	0	A2M-AS1
0.699179293174844	0.728026716979749	0.503000587084205	0.751059670871399	0	A2ML1
-2.27437690806976	0.735222492943362	0.0875719638997446	0.284698760740477	0	A2MP1
-1.39653732051156	3.89277055243219	0.0273006305835854	0.139612369863118	0	A4GALT
0.330421346205722	5.66140074780557	0.488097882796484	0.740224920208329	0	AAAS
1.26241668272398	4.95223170692387	0.025980685686228	0.135635902135756	0	AACS
2.19210529305695	5.75884095330987	0.00108149993206479	0.0155482653036645	1	AADAT
0.754093562802728	5.14047955099751	0.0714372594009793	0.252116678317137	0	AAGAB
1.27919053060383	5.873623492095	0.0585195728665694	0.222629078604574	0	AAK1
0.256025124297179	3.95728521377805	0.714782290039799	0.89190929673958	0	AAMDC
0.606528308433353	6.60835215367969	0.180465318704844	0.435389394269142	0	AAMP
-0.258108099655947	4.69055947002643	0.605424786650149	0.821843570360504	0	AAR2
0.45931026614389	6.64129752174626	0.327706145723315	0.601802841396635	0	AARS1
0.0632030544086123	4.68372365698243	0.903879393188339	0.985363707316658	0	AARS2
0.390081606554374	4.11555899606261	0.418867560299212	0.686584368752628	0	AARSD1
-0.00424172330794176	3.29690559457951	0.99999999999999	1	0	AASDH
0.15895740220408	3.96429774910861	0.751087764141615	0.912595320574884	0	AASDHPPT
-0.908667642680062	4.83123466524418	0.0559062943214644	0.216065407931378	0	AASS
-6.68622449636768	0.775328590769578	5.96036575080962e-05	0.00198377718501068	-1	AATBC
0.226992348476019	4.77885405706545	0.650060244432606	0.85159627841986	0	AATF
1.28093815714774	5.57901945920584	0.010093593479293	0.0733252752140176	0	AATK
-0.595361879863815	3.97906236391732	0.26369049014291	0.534425062932454	0	ABALON
-0.063181330442903	5.84304219757977	0.907160450473453	0.986610961054905	0	ABAT
-0.712714421892127	3.31648800911185	0.30257945551242	0.577328141989683	0	ABCA1
-0.106900320896011	1.89388442893385	1	1	0	ABCA10
-0.143220537381049	1.49538151402125	0.915227372579514	0.991026434462876	0	ABCA11P
-1.08713546410152	0.368125517005815	0.744698823364005	0.90849637798845	0	ABCA12
-0.448782860561956	0.4477214520366	1	1	0	ABCA17P
0.70949903162892	6.16543819325079	0.11838459095669	0.341677203317661	0	ABCA2
0.829261579610749	5.03145555009237	0.104494254484235	0.316275600309822	0	ABCA3
2.16539657706381	0.249028017285493	0.228176941569164	0.494795642841978	0	ABCA4
-0.164722827250271	4.89746358388505	0.791339167704015	0.933249479544046	0	ABCA5
-0.0261732361289255	1.82743148765997	1	1	0	ABCA6
0.216156400616062	4.01839896162177	0.691649491714022	0.877031038577654	0	ABCA7
-1.53881194918979	3.83117857065854	0.0459063977615291	0.192185677306229	0	ABCA8
0.685648676662517	1.94938938100357	0.421923663870574	0.689643971679333	0	ABCA9
-0.19014701807285	2.22760297711429	0.856530745755512	0.962985987023306	0	ABCB1
-0.465117621750777	3.59580041238225	0.468025446240706	0.724729663137322	0	ABCB10
0.557096979151363	0.500972364206576	0.560936381048755	0.793294099682994	0	ABCB4
0.487442737318592	4.13545447827177	0.315095847780743	0.589873123233008	0	ABCB6
1.03402268312739	3.74786463865166	0.0373866515835603	0.169824431991319	0	ABCB7
-0.0172716696819807	4.79718036659146	0.982266494841775	1	0	ABCB8
0.305747298537001	5.79569654343985	0.506415961824674	0.753797645567215	0	ABCB9
-0.513245650395544	6.28224698739746	0.349344373662286	0.622957092203271	0	ABCC1
-0.822499129986236	4.4991280203973	0.0845048363652136	0.278476223204985	0	ABCC10
2.23782365410761	3.60823159517142	0.0151473549197554	0.0946646317490187	0	ABCC11
3.60240118158926	0.698636664542186	0.322701359704758	0.595893824514806	0	ABCC12
0.341194624599686	0.995861657017097	0.842634721218946	0.95653012169136	0	ABCC2
-4.04700212066681	3.35796085611417	4.86019589002174e-08	7.54419717204582e-06	-1	ABCC3
1.18887400736699	8.41515933497307	0.0326527242996504	0.156409937148046	0	ABCC4
1.36581758607797	6.61119634254253	0.0419461354497285	0.181339503188032	0	ABCC5
-2.40698945935023	1.33404732754422	0.0182905533546646	0.106997954419783	0	ABCC6
-3.45850755487502	0.841196346002136	0.112548267877098	0.331351228154843	0	ABCC6P1
-1.84527743253472	0.24850349466137	0.310864634109671	0.585645136189629	0	ABCC6P2
-1.52609093800857	2.94851348500071	0.0867844509569667	0.283138398972847	0	ABCC8
-2.41227867255973	2.75766618614375	0.0016406686927924	0.0210262494536797	-1	ABCC9
0.559271559111047	3.83001145004493	0.330920658876092	0.605324339704057	0	ABCD1
-0.371911583505889	4.77845385981598	0.431597114010947	0.698609999539834	0	ABCD3
-0.147967683431372	5.1003275502224	0.732210904805676	0.901351663079669	0	ABCD4
0.456306713846539	5.00423926272814	0.329618200314081	0.603805358694419	0	ABCE1
0.137933850017435	5.64550529278362	0.755279422705037	0.91431768759089	0	ABCF1
0.320230624198029	3.79451592684166	0.546586897119083	0.783711074177911	0	ABCF2
0.564520679757708	5.72289923949915	0.178662640888639	0.43300524304711	0	ABCF3
